id,production_location,production_location2,sale_location,sale_location2,types_of_sampling,food_category,adulterant_category,adulterant,food_specifications_model_list,mandate_level,manufacturer_type,sampled_location_type,grade
1570,内蒙古自治区,赤峰市,内蒙古自治区,呼和浩特市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
1290,黑龙江省,大庆市,黑龙江省,大庆市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
7598,贵州省,贵阳市,贵州省,贵阳市,Same Place,"edible oil, fat and their product",Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
6330,辽宁省,沈阳市,辽宁省,抚顺市,Off-site,condiment,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
1671,浙江省,衢州市,浙江省,丽水市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
7675,河南省,商丘市,河南省,商丘市,Same Place,"edible oil, fat and their product",Specification,酸价;过氧化值,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,1
720,四川省,眉山市,四川省,乐山市,Off-site,alcohol,Specification,固形物,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
4656,广西壮族自治区,南宁市,广西壮族自治区,南宁市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,manufacturer,wet market/wholesale market,0
18,黑龙江省,双鸭山市,黑龙江省,双鸭山市,Same Place,bee product,Specification,果糖和葡萄糖;蔗糖,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
2171,河南省,周口市,河南省,周口市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7810,广西壮族自治区,贺州市,广西壮族自治区,贺州市,Same Place,fruit and fruit product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
9268,广东省,深圳市,广东省,深圳市,Same Place,frozen ice and ice cream,Microbial contamination,大肠菌群,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
816,广东省,梅州市,广东省,梅州市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
6807,浙江省,嘉兴市,湖北省,恩施土家族苗族自治州,Off-site,nut and nut product,Specification,过氧化值,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,0
2523,安徽省,芜湖市,安徽省,芜湖市,Same Place,meat and meat product,Environmental contaminant,亚硝酸盐,Bulk weighing,Nationally Mandated,manufacturer,manufacturer,1
567,江苏省,淮安市,江苏省,常州市,Off-site,cereal and cereal product,Toxin,脱氧雪腐镰刀菌烯醇,Pre-packaged,Nationally Mandated,manufacturer,wet market,0
442,安徽省,芜湖市,安徽省,芜湖市,Same Place,cereal and cereal product,Environmental contaminant,镉,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
2901,湖南省,长沙市,广西壮族自治区,崇左市,Off-site,convenience food,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,cafeteria,0
5391,山东省,滨州市,山东省,滨州市,Same Place,aquatic product,Food additive,山梨酸及其钾盐,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
4881,广东省,东莞市,广东省,东莞市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,restaurant,restaurant,0
3767,河南省,驻马店市,河南省,驻马店市,Same Place,pastry,Microbial contamination,霉菌,Bulk weighing,Nationally Mandated,manufacturer,manufacturer,3
7723,广东省,揭阳市,贵州省,遵义市,Off-site,fruit and fruit product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8877,广东省,清远市,广东省,清远市,Same Place,vegetable and vegetable product,Environmental contaminant,铅;镉;总砷;总汞,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,3
2448,浙江省,衢州市,浙江省,杭州市,Off-site,meat and meat product,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,wet market,0
4560,浙江省,金华市,浙江省,金华市,Same Place,pastry,Specification,脂肪,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
8950,云南省,临沧市,云南省,临沧市,Same Place,vegetable and vegetable product,Food additive,甜蜜素,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8910,福建省,厦门市,福建省,厦门市,Same Place,vegetable and vegetable product,Specification,水分,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
5182,福建省,厦门市,广东省,佛山市,Off-site,aquatic product,Environmental contaminant,N-二甲基亚硝胺,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,1
1608,安徽省,亳州市,安徽省,亳州市,Same Place,alcohol,Specification,氰化物,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
1966,云南省,曲靖市,云南省,曲靖市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,3
1531,广西壮族自治区,桂林市,广西壮族自治区,桂林市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
6005,贵州省,贵阳市,贵州省,贵阳市,Same Place,condiment,Specification,氨基酸态氮,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3066,河南省,漯河市,河南省,漯河市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,0
4646,浙江省,宁波市,浙江省,宁波市,Same Place,pastry,Specification,脂肪,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7240,浙江省,嘉兴市,浙江省,嘉兴市,Same Place,nut and nut product,Microbial contamination,霉菌,Bulk weighing,Nationally Mandated,manufacturer,other supermarket/convenience store,0
4193,广东省,广州市,广东省,广州市,Same Place,pastry,Specification,酸价;菌落总数,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,1
2536,湖北省,荆州市,湖北省,荆州市,Same Place,meat and meat product,Environmental contaminant,总砷,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
8068,广东省,江门市,广东省,江门市,Same Place,fruit and fruit product,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
3057,湖北省,武汉市,湖北省,武汉市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Bulk weighing,Nationally Mandated,manufacturer,chain supermarket,0
2782,河南省,周口市,河南省,南阳市,Off-site,convenience food,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
4287,广西壮族自治区,玉林市,广西壮族自治区,桂林市,Off-site,pastry,Food additive,脱氢乙酸,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
7518,黑龙江省,双鸭山市,黑龙江省,双鸭山市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
7469,山西省,临汾市,山西省,临汾市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5288,山东省,日照市,山东省,日照市,Same Place,aquatic product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,3
7164,广东省,揭阳市,广东省,东莞市,Off-site,nut and nut product,Food additive,甜蜜素,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
3497,河南省,新乡市,河南省,新乡市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
4109,安徽省,宣城市,安徽省,宣城市,Same Place,pastry,Specification,酸价,Bulk weighing,Nationally Mandated,manufacturer,chain supermarket,0
8669,四川省,成都市,四川省,成都市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
8164,山东省,临沂市,山东省,临沂市,Same Place,fruit and fruit product,Food additive,甜蜜素,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
202,河南省,平顶山市,河南省,平顶山市,Same Place,cereal and cereal product,Food additive,铝,Pre-packaged,Provincially Mandated,manufacturer,wholesale market,0
2199,四川省,成都市,湖南省,湘西土家族苗族自治州,Off-site,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,3
5121,甘肃省,平凉市,甘肃省,平凉市,Same Place,aquatic product,Microbial contamination,菌落总数;大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,3
2505,辽宁省,抚顺市,辽宁省,抚顺市,Same Place,meat and meat product,Environmental contaminant,亚硝酸盐,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
8526,云南省,曲靖市,贵州省,六盘水市,Off-site,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
7882,广东省,潮州市,广东省,潮州市,Same Place,fruit and fruit product,Food additive,环己基氨基磺酸钠,Pre-packaged,Nationally Mandated,chain supermarket,wholesale market,0
6235,江西省,抚州市,江西省,抚州市,Same Place,condiment,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6071,辽宁省,大连市,辽宁省,大连市,Same Place,condiment,Food additive,苯甲酸,Pre-packaged,Nationally Mandated,manufacturer,wet market/wholesale market,0
8914,甘肃省,张掖市,甘肃省,张掖市,Same Place,vegetable and vegetable product,Specification,水分;总灰分,Pre-packaged,Provincially Mandated,wet market/wholesale market,wet market/wholesale market,0
5507,陕西省,渭南市,陕西省,渭南市,Same Place,restaurant food,Food additive,苯甲酸;糖精钠,Bulk weighing,Provincially Mandated,restaurant,restaurant,0
7822,甘肃省,庆阳市,甘肃省,定西市,Off-site,fruit and fruit product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
8610,湖南省,长沙市,湖南省,长沙市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5769,贵州省,黔南布依族苗族自治州,贵州省,黔南布依族苗族自治州,Same Place,snack,Microbial contamination,大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
4329,四川省,乐山市,四川省,乐山市,Same Place,pastry,Food additive,脱氢乙酸,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5578,湖北省,荆州市,广东省,东莞市,Off-site,restaurant food,Food additive,环己基氨基磺酸钠;苯甲酸,Bulk weighing,Provincially Mandated,manufacturer,restaurant,0
5683,广东省,潮州市,广东省,惠州市,Off-site,snack,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
2539,湖南省,常德市,湖南省,常德市,Same Place,meat and meat product,Environmental contaminant,总砷,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1665,安徽省,蚌埠市,安徽省,蚌埠市,Same Place,alcohol,Specification,氰化物,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
40,江苏省,盐城市,江苏省,盐城市,Same Place,bee product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5783,黑龙江省,哈尔滨市,黑龙江省,齐齐哈尔市,Off-site,snack,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
3709,福建省,厦门市,福建省,厦门市,Same Place,pastry,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3251,河南省,洛阳市,河南省,洛阳市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和;脱氢乙酸,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
4833,安徽省,黄山市,安徽省,黄山市,Same Place,pastry,Specification,脂肪,Bulk weighing,Nationally Mandated,manufacturer,other supermarket/convenience store,0
6155,江苏省,盐城市,江苏省,盐城市,Same Place,condiment,Food additive,防腐剂各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1424,河南省,洛阳市,河南省,洛阳市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
762,广西壮族自治区,河池市,广西壮族自治区,河池市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,online store,0
3707,广东省,佛山市,广东省,东莞市,Off-site,pastry,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,manufacturer,wet market/wholesale market,0
6633,江西省,九江市,江西省,九江市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2158,四川省,成都市,四川省,成都市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
2592,广东省,江门市,广东省,江门市,Same Place,convenience food,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5862,安徽省,淮北市,安徽省,淮北市,Same Place,condiment,Specification,氨基酸态氮,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
685,湖北省,咸宁市,湖北省,咸宁市,Same Place,alcohol,Specification,固形物,Bulk weighing,Provincially Mandated,wholesale/retail,wholesale/retail,1
2445,贵州省,贵阳市,贵州省,贵阳市,Same Place,meat and meat product,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8793,吉林省,吉林市,吉林省,吉林市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7541,江西省,南昌市,江西省,南昌市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8652,贵州省,遵义市,贵州省,贵阳市,Off-site,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
4327,安徽省,滁州市,浙江省,杭州市,Off-site,pastry,Food additive,脱氢乙酸,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
6815,湖北省,武汉市,湖北省,武汉市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5500,山东省,威海市,山东省,威海市,Same Place,restaurant food,Food additive,铝,Bulk weighing,Provincially Mandated,manufacturer,manufacturer,0
581,新疆维吾尔自治区,乌鲁木齐市,新疆维吾尔自治区,乌鲁木齐市,Same Place,cereal and cereal product,Food additive,铝,Pre-packaged,Nationally Mandated,manufacturer,wholesale market,1
3440,湖南省,岳阳市,湖南省,岳阳市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,3
5226,广东省,佛山市,广东省,佛山市,Same Place,aquatic product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,3
6695,江苏省,南京市,江苏省,镇江市,Off-site,nut and nut product,Specification,过氧化值,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5278,辽宁省,大连市,辽宁省,大连市,Same Place,aquatic product,Specification,氮,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8254,江西省,鹰潭市,江西省,鹰潭市,Same Place,vegetable and vegetable product,Food additive,苯甲酸,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1430,贵州省,遵义市,四川省,成都市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
3737,浙江省,杭州市,浙江省,杭州市,Same Place,pastry,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,manufacturer,wet market/wholesale market,0
5166,浙江省,宁波市,浙江省,宁波市,Same Place,aquatic product,Environmental contaminant,N-二甲基亚硝胺,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3335,新疆维吾尔自治区,乌鲁木齐市,新疆维吾尔自治区,乌鲁木齐市,Same Place,pastry,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
7885,广东省,潮州市,广东省,潮州市,Same Place,fruit and fruit product,Food additive,环己基氨基磺酸钠,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2015,河北省,秦皇岛市,河北省,秦皇岛市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
55,广东省,东莞市,广东省,广州市,Off-site,bee product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
696,四川省,广安市,四川省,广安市,Same Place,alcohol,Specification,固形物,Bulk weighing,Provincially Mandated,manufacturer,manufacturer,0
1610,福建省,福州市,福建省,福州市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
982,广东省,阳江市,广东省,江门市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2638,河南省,开封市,河南省,开封市,Same Place,convenience food,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8902,湖北省,武汉市,湖北省,武汉市,Same Place,vegetable and vegetable product,Specification,水分,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1880,安徽省,六安市,安徽省,六安市,Same Place,meat and meat product,Specification,过氧化值,Bulk weighing,Provincially Mandated,restaurant,restaurant,0
7993,浙江省,温州市,浙江省,温州市,Same Place,fruit and fruit product,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
7952,山东省,淄博市,山东省,淄博市,Same Place,fruit and fruit product,Microbial contamination,菌落总数;大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
2022,江苏省,泰州市,安徽省,芜湖市,Off-site,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,3
6570,福建省,福州市,福建省,厦门市,Off-site,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,1
5881,内蒙古自治区,赤峰市,内蒙古自治区,赤峰市,Same Place,condiment,Specification,氨基酸态氮,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
3451,河南省,驻马店市,河南省,驻马店市,Same Place,pastry,Microbial contamination,菌落总数,Bulk weighing,Nationally Mandated,manufacturer,other supermarket/convenience store,0
4885,安徽省,安庆市,安徽省,合肥市,Off-site,pastry,Specification,脂肪,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
9192,黑龙江省,牡丹江市,黑龙江省,牡丹江市,Same Place,frozen ice and ice cream,Specification,蛋白质;菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
760,广西壮族自治区,河池市,广西壮族自治区,河池市,Same Place,alcohol,Specification,酒精度;甲醇,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1315,河北省,衡水市,河南省,商丘市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
4139,广东省,东莞市,广东省,东莞市,Same Place,pastry,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
2067,江苏省,镇江市,江苏省,镇江市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
945,黑龙江省,哈尔滨市,黑龙江省,哈尔滨市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
8582,江西省,南昌市,江西省,南昌市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
1597,湖北省,襄阳市,湖北省,襄阳市,Same Place,alcohol,Specification,总糖;酒精度,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1537,辽宁省,大连市,辽宁省,大连市,Same Place,alcohol,Specification,酒精度,Bulk weighing,Nationally Mandated,manufacturer,manufacturer,0
8405,山西省,晋中市,山西省,晋中市,Same Place,vegetable and vegetable product,Food additive,苯甲酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,wet market/wholesale market,0
3724,安徽省,宣城市,安徽省,宣城市,Same Place,pastry,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,restaurant,restaurant,0
5434,广东省,深圳市,广东省,广州市,Off-site,sugar,Specification,色值,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
3354,河北省,秦皇岛市,河北省,秦皇岛市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
6490,四川省,南充市,四川省,南充市,Same Place,condiment,Specification,总酸,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
2510,辽宁省,阜新市,辽宁省,阜新市,Same Place,meat and meat product,Environmental contaminant,亚硝酸盐,Bulk weighing,Provincially Mandated,eatery,eatery,0
2850,山西省,临汾市,山西省,临汾市,Same Place,convenience food,Microbial contamination,大肠菌群;霉菌,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8814,甘肃省,酒泉市,甘肃省,酒泉市,Same Place,vegetable and vegetable product,Specification,二氧化硫;水分,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3779,江苏省,扬州市,江苏省,扬州市,Same Place,pastry,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8785,甘肃省,张掖市,甘肃省,张掖市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,wet market/wholesale market,wet market/wholesale market,0
7633,贵州省,贵阳市,贵州省,贵阳市,Same Place,"edible oil, fat and their product",Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1881,安徽省,黄山市,安徽省,黄山市,Same Place,meat and meat product,Specification,过氧化值,Bulk weighing,Provincially Mandated,manufacturer,wet market/wholesale market,0
6813,广东省,江门市,广东省,珠海市,Off-site,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2109,宁夏回族自治区,中卫市,宁夏回族自治区,中卫市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,eatery,eatery,3
1865,山东省,东营市,山东省,东营市,Same Place,meat and meat product,Environmental contaminant,镉,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6492,河北省,沧州市,河北省,沧州市,Same Place,condiment,Food additive,总酸;苯甲酸,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
7061,浙江省,金华市,浙江省,金华市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
2744,江西省,鹰潭市,贵州省,贵阳市,Off-site,convenience food,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
3284,湖南省,岳阳市,湖南省,岳阳市,Same Place,pastry,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
2331,湖北省,荆州市,湖北省,荆州市,Same Place,meat and meat product,Food additive,山梨酸,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2335,湖南省,长沙市,湖南省,长沙市,Same Place,meat and meat product,Food additive,山梨酸,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,1
7599,河北省,唐山市,海南省,海口市,Off-site,"edible oil, fat and their product",Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
8765,四川省,内江市,四川省,绵阳市,Off-site,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8103,辽宁省,葫芦岛市,广东省,云浮市,Off-site,fruit and fruit product,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
340,河南省,新乡市,河南省,新乡市,Same Place,cereal and cereal product,Food additive,铝,Pre-packaged,Nationally Mandated,manufacturer,cafeteria,0
1389,贵州省,黔南布依族苗族自治州,贵州省,黔南布依族苗族自治州,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3703,江苏省,盐城市,江苏省,宿迁市,Off-site,pastry,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
7206,江苏省,南京市,江苏省,镇江市,Off-site,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
1643,四川省,成都市,四川省,成都市,Same Place,alcohol,Specification,氰化物,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
1439,四川省,广元市,四川省,广元市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,restaurant,0
4803,广东省,佛山市,广东省,佛山市,Same Place,pastry,Specification,脂肪,Bulk weighing,Nationally Mandated,manufacturer,other supermarket/convenience store,0
5228,山东省,威海市,山东省,威海市,Same Place,aquatic product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6779,新疆维吾尔自治区,乌鲁木齐市,新疆维吾尔自治区,乌鲁木齐市,Same Place,nut and nut product,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,online store,other supermarket/convenience store,2
6161,云南省,昆明市,云南省,昆明市,Same Place,condiment,Specification,谷氨酸钠,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
8430,贵州省,贵阳市,贵州省,贵阳市,Same Place,vegetable and vegetable product,Food additive,苯甲酸;二氧化硫;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
2079,吉林省,吉林市,吉林省,吉林市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,1
2971,广西壮族自治区,南宁市,广西壮族自治区,南宁市,Same Place,pastry,Microbial contamination,大肠菌群;霉菌,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
2064,吉林省,延边朝鲜族自治州,吉林省,延边朝鲜族自治州,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
4607,安徽省,安庆市,安徽省,合肥市,Off-site,pastry,Specification,脂肪,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
355,安徽省,蚌埠市,安徽省,蚌埠市,Same Place,cereal and cereal product,Food additive,铝,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,0
4062,辽宁省,沈阳市,辽宁省,沈阳市,Same Place,pastry,Food additive,山梨酸;脱氢乙酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
3080,湖南省,长沙市,湖南省,长沙市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
7500,安徽省,安庆市,安徽省,安庆市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2567,江西省,赣州市,江西省,赣州市,Same Place,convenience food,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7162,浙江省,宁波市,浙江省,宁波市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1022,贵州省,六盘水市,贵州省,六盘水市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,online store,0
8573,内蒙古自治区,呼伦贝尔市,内蒙古自治区,呼伦贝尔市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,wet market/wholesale market,wet market/wholesale market,3
