id,production_location,production_location2,sale_location,sale_location2,types_of_sampling,food_category,adulterant_category,adulterant,food_specifications_model_list,mandate_level,manufacturer_type,sampled_location_type,grade
2430,江西省,赣州市,江西省,南昌市,Off-site,meat and meat product,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
8101,广东省,潮州市,广东省,潮州市,Same Place,fruit and fruit product,Environmental contaminant,铅,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
7873,广东省,潮州市,广东省,潮州市,Same Place,fruit and fruit product,Food additive,环己基氨基磺酸钠,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
7567,安徽省,马鞍山市,山东省,威海市,Off-site,"edible oil, fat and their product",Food additive,邻苯二甲酸二正丁酯,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
1581,内蒙古自治区,赤峰市,内蒙古自治区,赤峰市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
6902,福建省,福州市,广东省,广州市,Off-site,nut and nut product,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
2602,广东省,汕头市,广东省,广州市,Off-site,convenience food,Microbial contamination,大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,wet market,3
3068,江苏省,徐州市,江苏省,宿迁市,Off-site,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
3327,湖北省,咸宁市,湖北省,荆门市,Off-site,pastry,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
1724,贵州省,安顺市,贵州省,安顺市,Same Place,confectionery,Microbial contamination,大肠菌群,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
2130,吉林省,吉林市,吉林省,吉林市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,3
1350,贵州省,遵义市,贵州省,遵义市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
234,四川省,成都市,四川省,成都市,Same Place,cereal and cereal product,Food additive,铝,Pre-packaged,Provincially Mandated,manufacturer,restaurant,3
5740,广东省,潮州市,广东省,湛江市,Off-site,snack,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,wet market/wholesale market,0
3526,浙江省,金华市,浙江省,金华市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
7106,福建省,福州市,福建省,福州市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8883,山东省,菏泽市,山东省,菏泽市,Same Place,vegetable and vegetable product,Food additive,山梨酸,Bulk weighing,Provincially Mandated,eatery,eatery,0
7956,广西壮族自治区,贵港市,广西壮族自治区,贵港市,Same Place,fruit and fruit product,Microbial contamination,菌落总数;霉菌,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
3123,浙江省,杭州市,浙江省,杭州市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Bulk weighing,Nationally Mandated,manufacturer,wholesale/retail,0
5240,广东省,汕头市,广东省,汕头市,Same Place,aquatic product,Microbial contamination,菌落总数;大肠菌群,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,3
